"","Year","Candidate","C10","M01","M10","M20","M30","M40","M50","S10","S20","S50","R10","cluster","X_first_score","X_second_score"
"202",2008,"H2FL23021",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"203",2008,"H2IL01042",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"204",2008,"H2IL05092",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"205",2008,"H2IL08088",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"206",2008,"H2MA01020",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"207",2008,"H2MA09072",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"208",2008,"H2MA11060",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"209",2008,"H2MD02160",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"210",2008,"H2MD05155",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"211",2008,"H2MD08126",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"212",2008,"H2ME02097",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"213",2008,"H2MI01068",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"214",2008,"H2MI17023",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"215",2008,"H2NC12021",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"216",2008,"H2NC13029",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"217",2008,"H2NJ05014",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"218",2008,"H2NY00010",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"219",2008,"H2NY01067",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
